PERMNO,date,TICKER,HSICMG,BIDLO,ASKHI,PRC,VOL,OPENPRC,sprtrn
84398,10/31/2000,SPY,,140.06250,143.68750,142.95313,7752398,141.01563,0.021978
84398,11/01/2000,SPY,,141.21875,143.25000,142.46875,6753599,142.25000,-0.005723
84398,11/02/2000,SPY,,142.51563,143.90625,142.70313,11395099,143.15625,0.004996
84398,11/03/2000,SPY,,142.37500,143.75000,142.78125,5187099,143.46875,-0.001141
84398,11/06/2000,SPY,,143.03125,144.29688,143.78125,4042500,143.15625,0.003855
84398,11/07/2000,SPY,,142.56250,144.00000,143.75000,5231299,143.14063,-0.000223
84398,11/08/2000,SPY,,140.56250,144.06250,140.56250,6123299,144.06250,-0.015777
84398,11/09/2000,SPY,,137.25000,141.21875,140.03125,10635299,140.00000,-0.006486
84398,11/10/2000,SPY,,136.53125,139.46875,136.62500,8569500,139.00000,-0.024398
84398,11/13/2000,SPY,,133.01563,136.98438,135.56250,17285296,135.62500,-0.010776
84398,11/14/2000,SPY,,137.00000,139.62500,139.12500,7668899,137.46875,0.023452
84398,11/15/2000,SPY,,137.75000,140.10938,139.56250,8837699,139.06250,0.004960
84398,11/16/2000,SPY,,137.31250,139.87500,137.37500,6684099,139.56250,-0.012584
84398,11/17/2000,SPY,,135.75000,139.00000,136.64063,6551099,137.31250,-0.003352
84398,11/20/2000,SPY,,134.31250,136.37500,134.68750,5458500,135.75000,-0.018352
84398,11/21/2000,SPY,,133.51563,136.18750,135.37500,7684299,134.87500,0.003523
84398,11/22/2000,SPY,,132.12500,134.87500,132.14063,5736899,134.34375,-0.018548
84398,11/24/2000,SPY,,133.62500,134.96875,134.84375,3411599,133.62500,0.014678
84398,11/27/2000,SPY,,135.31250,136.68750,136.03125,5992000,136.46875,0.005366
84398,11/28/2000,SPY,,133.64063,136.59375,133.68750,5336099,135.12500,-0.009548
84398,11/29/2000,SPY,,133.26563,135.90625,133.43750,6914100,134.37500,0.004371
84398,11/30/2000,SPY,,129.75000,133.50000,132.28125,11201601,132.50000,-0.020105
84398,12/01/2000,SPY,,131.00000,134.06250,132.21875,7587200,133.18750,0.000213
84398,12/04/2000,SPY,,131.50000,133.87500,133.34375,6996400,131.87500,0.007406
84398,12/05/2000,SPY,,134.40625,138.25000,137.71875,8883400,134.87500,0.038922
84398,12/06/2000,SPY,,135.03125,138.34375,135.51563,12888000,137.78125,-0.018220
84398,12/07/2000,SPY,,133.65625,135.87500,133.65625,6529100,134.87500,-0.005853
84398,12/08/2000,SPY,,133.87500,139.12500,133.96875,10276100,137.06250,0.019605
84398,12/11/2000,SPY,,136.71875,139.56250,138.62500,6405600,137.37500,0.007526
84398,12/12/2000,SPY,,137.37500,138.81250,138.03125,5022900,138.18750,-0.006535
84398,12/13/2000,SPY,,136.03125,139.40625,136.14063,6070500,139.25000,-0.008161
84398,12/14/2000,SPY,,134.03125,136.50000,134.40625,7778400,135.87500,-0.014015
84398,12/15/2000,SPY,,130.56250,133.12500,130.96875,9065300,133.12500,-0.021463
84398,12/18/2000,SPY,,131.76563,133.46875,132.71875,7235400,132.06250,0.008071
84398,12/19/2000,SPY,,130.01563,134.96875,130.01563,9616700,132.46875,-0.012958
84398,12/20/2000,SPY,,126.09375,128.93750,126.25000,9994200,128.62500,-0.031296
84398,12/21/2000,SPY,,125.53125,128.85938,127.12500,14331500,126.00000,0.008002
84398,12/22/2000,SPY,,128.84375,131.10938,130.93750,10182900,129.00000,0.024403
84398,12/26/2000,SPY,,130.28125,132.34375,132.34375,4665300,130.84375,0.007060
84398,12/27/2000,SPY,,131.25000,133.73438,133.31250,4854100,132.00000,0.010440
84398,12/28/2000,SPY,,132.59375,133.87500,133.71875,8358700,132.81250,0.003988
84398,12/29/2000,SPY,,131.18750,134.28125,131.18750,8774600,134.06250,-0.010448
84398,01/02/2001,SPY,,127.56250,132.15625,128.81250,8737400,132.00000,-0.028032
84398,01/03/2001,SPY,,127.65625,136.00000,135.00000,19431600,128.31250,0.050099
84398,01/04/2001,SPY,,133.00000,135.46875,133.54688,9219000,134.93750,-0.010552
84398,01/05/2001,SPY,,129.18750,133.62500,129.18750,12911400,133.46875,-0.026242
84398,01/08/2001,SPY,,127.68750,130.18750,130.18750,6625300,129.87500,-0.001918
84398,01/09/2001,SPY,,129.42188,131.50000,129.84375,5702400,131.04688,0.003812
84398,01/10/2001,SPY,,128.81250,132.12500,132.12500,8746100,129.00000,0.009586
84398,01/11/2001,SPY,,131.09375,133.48438,132.25000,7245300,131.09375,0.010318
84398,01/12/2001,SPY,,131.28125,133.71875,132.00000,7244000,132.68750,-0.006406
84398,01/16/2001,SPY,,131.51563,133.18750,132.84375,8542200,132.00000,0.006319
84398,01/17/2001,SPY,,132.64063,135.04688,133.45313,7851400,134.84375,0.002126
84398,01/18/2001,SPY,,132.93750,135.70313,134.78125,8106900,133.43750,0.013915
84398,01/19/2001,SPY,,133.87500,136.18750,134.01563,7782500,136.18750,-0.004028
84398,01/22/2001,SPY,,133.56250,135.78125,134.90625,7050900,134.25000,0.000268
84398,01/23/2001,SPY,,134.15625,136.65625,135.96875,8463100,134.46875,0.013032
84398,01/24/2001,SPY,,135.84375,137.31250,136.37500,6199900,136.25000,0.002867
84398,01/25/2001,SPY,,135.65625,137.25000,136.03125,10818300,136.25000,-0.004977
84398,01/26/2001,SPY,,134.45313,136.12500,135.87500,7136800,135.15625,-0.001886
84398,01/29/2001,SPY,,135.37000,136.89999,136.60001,6705900,135.50000,0.006805
84398,01/30/2001,SPY,,135.78999,137.92000,137.80000,7069100,136.30000,0.007008
84398,01/31/2001,SPY,,136.60001,138.70000,137.02000,9706900,137.39999,-0.005620
84398,02/01/2001,SPY,,136.25000,137.95000,137.92999,8239600,137.10001,0.005461
84398,02/02/2001,SPY,,134.75000,137.99001,134.80000,8276500,137.39999,-0.017474
84398,02/05/2001,SPY,,134.75000,135.94000,135.78999,4352900,134.80000,0.003587
84398,02/06/2001,SPY,,135.22000,136.70000,135.39000,7106700,135.30000,-0.001514
84398,02/07/2001,SPY,,133.67999,135.39999,134.69000,5748700,134.72000,-0.008408
84398,02/08/2001,SPY,,133.10001,135.39999,133.12000,5943300,134.80000,-0.006235
84398,02/09/2001,SPY,,131.25999,133.35001,131.84000,9913000,133.35001,-0.013336
84398,02/12/2001,SPY,,131.70000,133.50000,133.35001,5804400,131.70000,0.011827
84398,02/13/2001,SPY,,132.00000,134.17000,132.25999,6587600,133.70000,-0.008652
84398,02/14/2001,SPY,,130.66000,132.64999,132.06000,8400100,132.64999,-0.002184
84398,02/15/2001,SPY,,132.50000,133.52000,133.34000,5928600,132.84000,0.008124
84398,02/16/2001,SPY,,129.30000,131.28999,130.39999,6434900,131.00000,-0.018905
84398,02/20/2001,SPY,,128.10001,131.14000,128.39000,5760000,131.03999,-0.017357
84398,02/21/2001,SPY,,125.50000,128.84000,125.62000,10910800,127.90000,-0.018508
84398,02/22/2001,SPY,,123.02000,126.54000,125.81000,21281600,126.35000,-0.001952
84398,02/23/2001,SPY,,121.80000,125.54000,124.96000,20173000,125.08000,-0.005555
84398,02/26/2001,SPY,,124.50000,127.62000,127.62000,11502600,125.80000,0.017490
84398,02/27/2001,SPY,,125.51000,127.84000,126.44000,11415000,126.80000,-0.007660
84398,02/28/2001,SPY,,123.27000,126.84000,123.95000,14831100,126.75000,-0.014309
